round_number,first_choice,flipped_card,second_choice,trophy_card,result,phase_type,points_after_round,switch_win,stay_win
1,0,1,2,2,True,1,140,1,0
2,0,2,1,1,True,1,330,1,0
3,0,1,2,0,False,1,420,0,0
4,0,1,2,2,True,2,520,1,0
5,0,1,2,2,True,2,720,1,0
6,0,1,0,2,False,2,810,0,0
