round_number,first_choice,flipped_card,second_choice,trophy_card,result,phase_type,points_after_round,switch_win,stay_win,email
1,0,1,2,2,True,1,140,1,0,
2,0,1,2,2,True,1,230,1,0,
3,0,2,1,1,True,1,320,1,0,
4,0,2,1,1,True,2,420,1,0,
5,0,1,2,2,True,2,520,1,0,
6,0,1,2,2,True,2,620,1,0,
